freqs,phases,amps
1,4,1.0
4,151,0.5054605873415318
10,6,0.32531368414470246
13,180,0.2896556897152267
21,187,0.23869769039875757
31,182,0.21013820548013287
44,26,0.1935032881428688
64,175,0.18343598099301286
90,54,0.17666381604635475
110,143,0.17934106413976428
170,4,0.17333566019803162
250,136,0.17562388399430884
370,250,0.17244195469126153
520,129,0.17217065426202965
750,12,0.1720377987189415
1000,164,0.1720543043627636
