freqs,phases,amps
1,4,1
4,151,1
10,6,1
13,180,1
21,187,1
31,182,1
44,26,1
64,175,1
90,54,1
110,143,1
170,4,1
250,136,1
370,250,1
520,129,1
750,12,1
1000,164,1
